producto_id,cantidad_total,D1_DEP,D2_DEP,pdv_1,pdv_2,pdv_3,pdv_4,pdv_5
DEP85,137.0,0.0,0.0,0.0,47.0,21.0,69.0,0.0
DEP86,198.0,0.0,0.0,90.0,59.0,17.0,32.0,0.0
DEP87,146.0,0.0,0.0,0.0,96.0,0.0,50.0,0.0
DEP88,189.0,0.0,0.0,54.0,45.0,85.0,0.0,5.0
DEP89,71.0,0.0,0.0,55.0,0.0,0.0,0.0,16.0
DEP90,131.0,0.0,0.0,0.0,55.0,76.0,0.0,0.0
DEP91,127.0,0.0,0.0,0.0,47.0,2.0,10.0,68.0
DEP92,226.0,0.0,16.0,77.0,0.0,52.0,11.0,70.0
DEP93,246.0,0.0,0.0,73.0,79.0,0.0,94.0,0.0
DEP94,185.0,0.0,0.0,40.0,50.0,0.0,95.0,0.0
DEP95,186.0,0.0,0.0,53.0,75.0,0.0,35.0,23.0
DEP96,179.0,0.0,0.0,55.0,30.0,67.0,27.0,0.0
DEP97,254.0,0.0,0.0,82.0,45.0,0.0,95.0,32.0
DEP98,272.0,0.0,0.0,0.0,72.0,74.0,97.0,29.0
DEP99,89.0,0.0,0.0,0.0,36.0,36.0,0.0,17.0
DEP100,116.0,0.0,0.0,0.0,60.0,0.0,47.0,9.0
